japanese,reading,chinese
欲しい,ほしい,想要的
広い,ひろい,寬廣的
狭い,せまい,狹窄的
明るい,あかるい,明亮的
暗い,くらい,暗的
重い,おもい,重的
軽い,かるい,輕的
便利,べんり,方便
不便,ふべん,不方便
部屋,へや,房間
台所,だいどころ,廚房
お風呂,おふろ,浴室
庭,にわ,庭院
階段,かいだん,樓梯
窓,まど,窗戶
ドア,どあ,門
椅子,いす,椅子
テーブル,てーぶる,桌子
棚,たな,架子
冷蔵庫,れいぞうこ,冰箱
洗濯機,せんたくき,洗衣機
エアコン,えあこん,冷氣
引っ越し,ひっこし,搬家
置く,おく,放置
付ける,つける,開（電器）
消す,けす,關（電器）、消除
閉める,しめる,關閉
開ける,あける,打開
座る,すわる,坐
立つ,たつ,站
