japanese,reading,chinese
はじめまして,はじめまして,初次見面、幸會
どうぞ,どうぞ,請
よろしく,よろしく,多多指教
私,わたし,我
学生,がくせい,學生
はい,はい,（回答）是、對的
いいえ,いいえ,（回答）不、不是
そう（です）,そうです,是的
先生,せんせい,老師
名前,なまえ,名字
国,くに,國家
専門,せんもん,專業
台湾,たいわん,臺灣
日本,にほん,日本
アメリカ,あめりか,美國
中国,ちゅうごく,中國
韓国,かんこく,韓國
これ,これ,這個（靠近講者）
それ,それ,那個（靠近聽者）
あれ,あれ,那個（遠離雙方）
この,この,這個~（靠近講者）
その,その,那個~（靠近聽者）
あの,あの,那個~（遠離雙方）
だれ,だれ,誰
どなた,どなた,哪位（較禮貌）
どれ,どれ,哪一個（選項三個以上）
どちら,どちら,哪一個、哪裡（較禮貌）
本,ほん,書本
ノート,のーと,筆記本
かばん,かばん,書包
傘,かさ,雨傘
時計,とけい,時鐘
腕時計,うでどけい,手錶
消しゴム,けしごむ,橡皮擦
ボールペン,ぼーるぺん,原子筆
テレビ,てれび,電視
コンピュータ,こんぴゅーた,電腦
車,くるま,車
英語,えいご,英語
日本語,にほんご,日語
辞書,じしょ,字典
新聞,しんぶん,報紙
雑誌,ざっし,雜誌
鍵,かぎ,鑰匙
宿題,しゅくだい,作業
人,ひと,人
男,おとこ,男人
女,おんな,女人
すみません,すみません,對不起、不好意思
ありがとうございます,ありがとうございます,謝謝您
何,なに,什麼
