japanese,reading,chinese
好き,すき,喜歡
嫌い,きらい,討厭
お土産,おみやげ,伴手禮
誕生日,たんじょうび,生日
きれい,きれい,漂亮、乾淨
便利,べんり,方便
静か,しずか,安靜
丈夫,じょうぶ,結實、耐用
暇,ひま,有空、空閒
元気,げんき,健康、有精神
親切,しんせつ,親切
汚い,きたない,髒的
にぎやか,にぎやか,熱鬧
行く,いく,去
帰る,かえる,回去
来る,くる,來
撮る,とる,拍照
いつ,いつ,什麼時候
寿司,すし,壽司
天ぷら,てんぷら,天婦羅
すき焼き,すきやき,壽喜燒
アイスクリーム,あいすくりーむ,冰淇淋
猫,ねこ,貓
犬,いぬ,狗
うさぎ,うさぎ,兔子
象,ぞう,大象
パンダ,ぱんだ,貓熊
動物,どうぶつ,動物
水泳,すいえい,游泳
スキー,すきー,滑雪
コーラ,こーら,可樂
写真,しゃしん,照片
花,はな,花
コンビニ,こんびに,便利商店
たくさん,たくさん,很多
一緒,いっしょ,一起
みなさん,みなさん,大家
