japanese,reading,chinese
ある,ある,有（物品）
いる,いる,有（人、動物）
上,うえ,上面
中,なか,中間、裡面
下,した,下面
外,そと,外面
前,まえ,前面
後ろ,うしろ,後面
隣,となり,旁邊
間,あいだ,之間
東,ひがし,東
ベッド,べっど,床
椅子,いす,椅子
本棚,ほんだな,書架
テーブル,てーぶる,茶几、餐桌
冷蔵庫,れいぞうこ,冰箱
携帯電話,けいたいでんわ,手機
スマホ,すまほ,智慧型手機
お金,おかね,錢
切手,きって,郵票
ペン,ぺん,筆
木,き,樹
鳥,とり,鳥
池,いけ,池塘
文房具,ぶんぼうぐ,文具
文房具屋,ぶんぼうぐや,文具店
電気屋,でんきや,電器行
パン屋,ぱんや,麵包店
エアコン,えあこん,空調
パソコン,ぱそこん,個人電腦
島,しま,島嶼
人口,じんこう,人口
首都,しゅと,首都
