japanese,reading,chinese
乗せる,のせる,讓（人）搭乘
壁,かべ,牆
砂糖,さとう,砂糖
シャツ,しゃつ,襯衫
ミルク,みるく,牛奶（奶精）
袋,ふくろ,袋子
書類,しょるい,文件
ゆで卵,ゆでたまご,水煮蛋
鍋,なべ,鍋子
住む,すむ,居住
知る,しる,知道
スター,すたー,明星
小学校,しょうがっこう,小學
経済,けいざい,經濟
経済学,けいざいがく,經濟學
払う,はらう,付錢、支付
発表,はっぴょう,發表
正しい,ただしい,正確的
答え,こたえ,答案
思い出す,おもいだす,回想、想起
チェック,ちぇっく,檢查
録音,ろくおん,錄音
一度,いちど,一次
サークル,さーくる,社團
入る,はいる,加入
書道部,しょどうぶ,書法社
ビザ,びざ,簽證
学生証,がくせいしょう,學生證
ノック,のっく,敲門
初めて,はじめて,第一次
ごちそう,ごちそう,大餐
ジョギング,じょぎんぐ,慢跑
洗濯,せんたく,洗衣服
掃除,そうじ,打掃
開く,あく,打開（自動詞）
閉まる,しまる,關上（自動詞）
泣く,なく,哭
笑う,わらう,笑
渡す,わたす,交給、遞給
歴史,れきし,歷史
