japanese,reading,chinese
祖母,そぼ,奶奶（自稱）
祖父,そふ,爺爺（自稱）
母,はは,媽媽
父,ちち,爸爸
姉,あね,姊姊
兄,あに,哥哥
妹,いもうと,妹妹
弟,おとうと,弟弟
妻,つま,妻子
夫,おっと,丈夫
パートナー,ぱーとなー,伴侶
娘,むすめ,女兒
息子,むすこ,兒子
孫,まご,孫子
おばさん,おばさん,阿姨、伯母、姑姑、嬸嬸
おじさん,おじさん,叔叔、伯伯、舅舅
泳ぐ,およぐ,游泳
遊ぶ,あそぶ,玩耍
迎える,むかえる,迎接
届く,とどく,送達
届ける,とどける,寄送
送る,おくる,寄送、送
もらう,もらう,收到
あげる,あげる,給
くれる,くれる,（別人）給我
お土産,おみやげ,伴手禮
お菓子,おかし,點心、零食
花,はな,花
お花見,おはなみ,賞花
チョコレート,ちょこれーと,巧克力
ネックレス,ねっくれす,項鏈
クリスマス,くりすます,聖誕節
バレンタインデー,ばれんたいんでー,情人節
母の日,ははのひ,母親節
誕生日,たんじょうび,生日
プレゼント,ぷれぜんと,禮物
指輪,ゆびわ,戒指
時計,とけい,手錶、時鐘
手袋,てぶくろ,手套
財布,さいふ,錢包
靴,くつ,鞋子
かばん,かばん,包包
もう,もう,已經
まだ,まだ,還沒
セーター,せーたー,毛衣
ぼうし,ぼうし,帽子
