japanese,reading,chinese
バス,ばす,公車、巴士
電車,でんしゃ,電車
地下鉄,ちかてつ,地鐵
飛行機,ひこうき,飛機
船,ふね,船
タクシー,たくしー,計程車
自転車,じてんしゃ,腳踏車
歩く,あるく,走路
旅行,りょこう,旅行
新幹線,しんかんせん,新幹線
東京,とうきょう,東京
大阪,おおさか,大阪
札幌,さっぽろ,札幌
広島,ひろしま,廣島
いい,いい,好、良好
悪い,わるい,壞
易しい,やさしい,簡單
難しい,むずかしい,困難
楽しい,たのしい,開心、有趣
面白い,おもしろい,有趣
忙しい,いそがしい,忙碌
熱い,あつい,熱的、燙的（物體）
冷たい,つめたい,冰的、冷的（物體）
重い,おもい,重的
軽い,かるい,輕的
長い,ながい,長的
短い,みじかい,短的
速い,はやい,快的
遅い,おそい,慢的、晚的
近い,ちかい,近的
遠い,とおい,遠的
暑い,あつい,熱的（氣候）
寒い,さむい,寒冷的
涼しい,すずしい,涼爽的
春,はる,春天
夏,なつ,夏天
秋,あき,秋天
冬,ふゆ,冬天
とても,とても,非常
少し,すこし,少量
あまり,あまり,不太
全然,ぜんぜん,完全不
海,うみ,海
疲れる,つかれる,累
